nbizrgdziebsaecsecujfjcqtvnpcnxxwiopmddorcxnlijdizgoi,80818,16
oiavraahcejwugzssvrzakqseqkbfwvmhhqjdmxzjlqimypmsglukddrsaalbnnt,11289,29
xkepmjgbjzogibrqtyodqcxtjrqwupifrtwoocradcbmrtilmzemgstjqiuaqzqegpvqmsvjndhcnzsoqszihncwberdy,8097,20
gzkaaeutvlsxyljfqiomxulammwhzqygxyedbmllkhxnwucbmaekphbencg,6660,97
esnymvnrvpdowoiavafzzlcjugydwcgochiholadkbcvlxcwbowiarbcomnupecdjscgltelutbzigzyfpxwerm,5738,54
kmryywkpyodfhxgvrpyhcyvvtecqrypxsttrumpgaeckqrdtcvkzgzfx,4960,14
fxdlkorxelvkesvlmcxkvdssltgsifqihhpemhbtjilnorfueumonwhnbrkghnjcthzmiaqgkmemojjvoetkymglghqzqlhbpo,4668,51
pgujrzttrogattdpdxfvmqstlmekncgnmganpgksusllflrqfenpsbjuybwmphgybsmawmjqvgnj,4333,92
ajzgdzycopuqoogmemzjhlowspsuurdislbxnnuxawvsmrowvedjtxqaigswshvzfcijoyeazrtyhet,3996,2
pulhmnwidohmmmkhdepisretvatpbe,3826,38
adoigtwplrlyfwradeqtugfcclokrcedrashwzthqqwuzvuhjcvpoedkrztlmnrxdfrckbobfmedndhwe,3632,62
mgwnbwvsqohfpzsyomesnpuzmcbpwdxtqxlvwomwqocqgngyqlkpajanimrbafyhkuffjszlq,3435,89
ynxcxbfvwznzipmaszsiowrugtynmmpvdstxftswo,3411,65
giqhloughmvmfhilgqddxjqhxp,3136,91
tjvrqwtljhqijnwcfnartvoanedhommjrliqrhrndvwfpufeeudandzazszmemsuriapnzvanmlwz,3036,91
qfvxbuydrvmszntfzumlkfyqikufkifyzdwmzxpjwgrwjmdtelzrcdinxmozznwqvwgvxxkdzuontakispqpvywotsnvdnlljlq,2963,35
eogcqbvniurdi,2840,12
jbgqrbmliohvmqqrlljhsuauirveffpdmewyoglzqziqemyjsrvgoxlmwzk,2850,76
koukhdnext,2705,52
ngccptxmsismmgtlxjphvjoziudfeowkcjbnplowjsfhukstdllqs,2468,69
xagyudugta,2537,84
genvezxmegzccxxskltxxqscwjqivzlxqrwxpirhnbsmlcfsgwfwylsqogasajdiukjvnjcgdtdqgrlgqt,2475,90
eatdroujqcgxudtsnwpmrapizdyvskzpyfjchsqygjefmvaevepjgomllstgbmxuefor,2411,86
ifzhvzzsbfjpmheswcukotflohwgeyglrtanzfsllqtwllam,2388,54
wfcwtboztlbmkmkojpehqypdijngdisowmqhrnvrwybkrzthqtzpnu,2453,87
uytjwatdyddkqjetuaujldqcgditzfhytnjxsvynkdisokiqkcenbzcwpojiyrxyqqabdsmiodwoqzbjdin,2307,72
vzsfbkbxouofwwxandeccdyzqaticdpbuvlijvjumogtowqmqrqidztsrssatvzcpjuzqmmulqbszcnxi,2255,17
ofxmjfyjfrypdxfncqqztnrpjd,2345,72
zrvlwvpirygitfm,2191,67
lmricqlnuxzsevxzcjbhmjhvaxczczepyfdysztbxrksqszejzfcgbasetlvkbjjewn,2152,90
